Iteration,ExecutionTimeSeconds
1,1.219678
2,1.115713
3,1.060549
4,1.053948
5,1.099017
6,1.178129
7,1.129413
8,1.097117
9,1.121937
10,1.102378
11,1.102850
12,1.112121
13,1.088606
14,1.075774
15,1.123992
16,1.084875
17,1.080794
18,1.109451
19,1.096347
20,1.102303
21,1.118096
22,1.103843
23,1.052801
24,1.054879
25,1.053657
26,1.048745
27,1.051950
28,1.049258
29,1.049956
30,1.052603
31,1.049955
32,1.051031
33,1.048791
34,1.049009
35,1.052977
36,1.049586
37,1.049311
38,1.048912
39,1.049757
40,1.054072
41,1.049446
42,1.049617
43,1.048646
44,1.053763
45,1.049984
46,1.084717
47,1.052920
48,1.052073
49,1.057136
50,1.070742
51,1.080250
52,1.079271
53,1.118149
54,1.080107
55,1.071764
56,1.066912
57,1.070360
58,1.075360
59,1.069742
60,1.068785
61,1.069482
62,1.069172
63,1.074068
64,1.070513
65,1.067352
66,1.068808
67,1.069068
68,1.077710
69,1.069498
70,1.067506
71,1.067699
72,1.075170
73,1.067731
74,1.068879
75,1.067513
76,1.070464
77,1.074200
78,1.069999
79,1.068288
80,1.069774
81,1.067928
82,1.085366
83,1.073069
84,1.069115
85,1.068429
86,1.076605
87,1.070670
88,1.070853
89,1.070228
90,1.071951
91,1.074120
92,1.070589
93,1.068053
94,1.070361
95,1.109131
96,1.078537
97,1.068759
98,1.067076
99,1.066964
100,1.074695
